LEVEL,,,,,,,,,,,,,,TOTAL,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,human computer interaction [human-computer interaction],,,,,,,,,,,,,13383,1,2,110,48,0,39,45,49,35,64,62,87,187,200,272,279,270,244,263,241,250,274,250,271,334,354,476,382,469,580,538,684,679,829,872,794,933,900,1016
1,,user interface [user interfaces],,,,,,,,,,,,8167,1,0,39,21,0,38,19,28,21,40,28,39,141,116,141,114,186,169,155,169,176,172,170,174,242,265,316,251,327,394,329,436,407,497,472,454,586,521,513
2,,,interaction design [interaction designs],,,,,,,,,,,1699,0,0,4,6,0,2,4,4,0,2,5,5,9,14,24,16,37,36,32,30,30,20,27,34,52,49,57,51,87,112,70,112,103,121,115,89,131,110,99
3,,,,experience design,,,,,,,,,,1032,0,0,3,5,0,2,4,3,0,2,4,5,8,13,23,12,28,22,23,15,14,13,16,15,33,28,35,30,49,73,50,63,62,76,59,48,83,58,55
2,,,interactive computer systems,,,,,,,,,,,1387,0,0,4,1,0,1,0,3,4,9,4,10,47,27,31,13,30,25,32,36,44,37,42,30,46,49,58,55,62,66,64,83,69,77,53,67,72,66,70
3,,,,interaction technique [interaction techniques],,,,,,,,,,543,0,0,1,0,0,0,0,2,0,2,3,3,5,8,16,8,3,5,8,12,17,13,16,10,21,19,26,22,21,35,26,32,34,32,28,24,35,27,29
4,,,,,interactive surfaces,,,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,2,0,4,3,1,4,5,3,2
3,,,,groupware,,,,,,,,,,461,0,0,0,0,0,0,0,1,3,4,1,6,41,15,14,3,22,15,16,18,21,18,23,9,16,13,20,18,23,10,18,13,13,19,8,19,21,10,10
4,,,,,cooperative work [cooperative works],,,,,,,,,359,0,0,0,0,0,0,0,1,2,2,1,4,40,14,13,3,12,14,15,16,19,13,20,7,14,11,17,12,18,6,11,11,8,13,5,11,13,6,7
4,,,,,collaborative work,,,,,,,,,48,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,1,1,0,2,2,1,0,0,0,1,1,1,3,1,4,1,3,4,4,4,5,1,2
4,,,,,cscw,,,,,,,,,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,1,3,3,1,1,3,1,2,0,3,0,2,4,1,2,1,5,5,0,1
4,,,,,collaborative systems,,,,,,,,,22,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,3,2,2,1,0,0,0,4,0,2,0
4,,,,,collaborative activities,,,,,,,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,4,0,0,1,2,2,0,2,3,0,1
4,,,,,groupware systems,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
4,,,,,collaborative software development,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,,,,social computing,,,,,,,,,,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,0,5,0,7,5,7,8,6,6,14,13,21,12,8,7,12,10,12,14
3,,,,multimodal interaction [multi-modal interactions],,,,,,,,,,92,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,2,3,6,2,1,2,3,2,3,7,8,1,4,4,5,3,3,1,6,10,7
3,,,,tangible interface [tangible interfaces],,,,,,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,4,2,5,4,0,4,6,1,7,2,6,5,6,1,5,5
3,,,,embodied interaction,,,,,,,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,3,4,1,4,5,3,2
3,,,,tangible interaction,,,,,,,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,1,4,2,2,3,2,1,3,6
3,,,,"multimodal interface [multi-modal interfaces, multimodal interfaces]",,,,,,,,,,22,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,3,1,1,1,2,0,3,0,1,0,1,1
3,,,,interactive multimedia,,,,,,,,,,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,2,2,0,1,0,0,1,0,0,0,0,1,1,0,0
3,,,,multimodal system [multimodal systems],,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1
2,,,user experience,,,,,,,,,,,1185,0,0,4,5,0,2,4,3,1,2,4,6,8,16,24,14,28,23,23,17,15,16,23,19,38,35,44,37,61,84,57,69,70,86,71,55,93,65,63
3,,,,experience design,,,,,,,,,,1032,0,0,3,5,0,2,4,3,0,2,4,5,8,13,23,12,28,22,23,15,14,13,16,15,33,28,35,30,49,73,50,63,62,76,59,48,83,58,55
3,,,,user research,,,,,,,,,,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,6,5,8,7,10,9,6,6,10,7,11,5,12,6,5
3,,,,user testing,,,,,,,,,,62,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1,2,0,1,0,1,0,1,6,1,4,3,2,1,5,4,4,0,4,4,2,5,2,3,0
2,,,interactive computer graphics,,,,,,,,,,,972,0,0,2,0,0,0,0,0,1,0,0,4,7,2,13,15,8,18,15,18,19,15,13,19,18,24,28,22,35,40,42,50,57,88,67,72,94,84,82
3,,,,information visualization,,,,,,,,,,377,0,0,0,0,0,0,0,0,0,0,0,2,6,1,10,15,7,11,7,13,8,8,9,11,7,16,14,9,13,14,11,20,18,26,20,24,29,27,21
4,,,,,visual analytics,,,,,,,,,122,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,3,4,3,1,0,1,3,2,2,2,5,3,3,4,4,6,9,11,8,5,14,9,10
5,,,,,,sense making [sense-making],,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,3,3,2,1,2,2
5,,,,,,intelligence analysis,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,0,0,0
6,,,,,,,intelligence analysts,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
4,,,,,visual exploration,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,2,5,0,0,2
4,,,,,treemap [tree-maps],,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,,,,,parallel coordinates,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4,,,,,graph visualization,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,,,,,network visualization,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,,,,game design,,,,,,,,,,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,2,2,2,6,2,8,6,8,10,10,13,26,47,37,29,44,28,37
4,,,,,gameplay,,,,,,,,,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,4,2,5,7,14,14,8,11,9,12
4,,,,,gamification,,,,,,,,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,3,5,5,5,12
4,,,,,game designers,,,,,,,,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,3,4,7,2,1,3,6,6
4,,,,,game experience,,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,2,3,0,6,2,1
3,,,,virtual world [virtual worlds],,,,,,,,,,192,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,5,4,5,10,5,2,4,5,3,3,5,7,6,17,14,9,4,6,11,12,27,21
