TOPIC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
computer science,1,2,120,57,0,41,54,59,48,73,71,98,199,217,289,297,288,264,278,260,274,323,282,303,373,404,540,429,557,668,662,817,815,988,1059,985,1166,1128,1249
human computer interaction,1,2,110,48,0,39,45,49,35,64,62,87,187,200,272,279,270,244,263,241,250,274,250,271,334,354,476,382,469,580,538,684,679,829,872,794,933,900,1016
user interface,1,0,39,21,0,38,19,28,21,40,28,39,141,116,141,114,186,169,155,169,176,172,170,174,242,265,316,251,327,394,329,436,407,497,472,454,586,521,513
computer system,0,0,72,27,0,18,28,27,22,23,27,29,70,63,90,69,82,111,103,127,142,146,138,151,183,213,257,218,270,319,313,389,391,405,399,443,505,475,482
internet,0,0,27,10,0,10,12,12,8,11,10,10,57,51,59,49,64,113,94,115,136,153,139,137,181,198,261,211,250,326,321,408,385,419,420,445,521,484,498
artificial intelligence,0,0,87,41,0,20,23,30,26,34,27,21,68,53,79,60,72,86,64,89,93,110,91,104,136,141,180,147,206,246,235,303,296,357,341,335,415,395,372
computer network,0,0,5,4,0,5,3,9,3,6,8,8,29,25,38,20,26,36,38,62,80,80,89,88,121,125,161,137,149,193,188,236,240,271,265,277,330,304,326
human engineering,0,0,27,14,0,13,12,13,6,22,17,25,55,58,76,53,74,78,67,72,80,72,75,87,133,137,170,137,184,225,171,226,210,238,228,192,269,229,227
telecommunication systems,0,0,3,4,0,4,3,7,3,5,7,8,26,25,34,20,22,34,34,58,77,74,79,84,110,123,152,127,137,179,175,214,224,246,239,255,298,271,285
network protocols,0,0,4,4,0,4,3,7,2,4,7,6,25,23,32,17,22,32,30,58,72,70,75,78,108,116,145,132,142,167,170,213,221,243,238,248,300,274,282
wireless telecommunication systems,0,0,3,4,0,2,2,7,3,4,6,8,25,21,33,17,21,31,31,54,70,67,76,82,107,119,146,121,131,176,165,205,212,234,227,246,281,256,269
telecommunication networks,0,0,3,3,0,4,3,5,2,4,6,5,21,23,32,17,22,32,28,55,72,68,70,77,102,115,145,124,132,162,162,201,205,231,225,238,281,253,262
computer vision,0,0,13,9,0,3,5,14,6,8,6,11,40,24,32,30,29,42,41,55,62,75,57,73,76,93,93,88,120,139,158,181,207,253,238,239,301,267,252
hardware,0,0,21,4,0,6,4,11,6,5,10,4,26,14,15,17,17,26,22,34,43,54,51,56,96,99,104,101,124,146,139,181,188,226,268,270,310,293,315
data communication systems,0,0,2,3,0,3,2,4,2,3,6,5,17,18,31,15,20,28,25,50,61,63,65,71,98,102,132,111,116,147,140,176,187,209,202,216,256,224,234
mobile computing,0,0,1,3,0,2,2,4,1,3,4,4,15,15,29,14,17,25,23,44,57,58,64,66,89,94,124,105,112,142,133,171,174,197,191,204,240,214,222
mobile device,0,0,1,2,0,2,2,3,1,2,4,4,14,14,29,14,15,23,22,34,51,51,62,65,81,89,114,94,99,130,123,159,166,189,182,192,233,199,212
world wide web,0,0,8,4,0,3,8,2,4,5,2,3,15,27,21,29,41,72,56,49,57,67,47,55,64,70,95,78,110,136,150,165,150,137,146,134,159,154,138
image processing,0,0,11,3,0,1,2,11,6,5,3,7,33,15,21,22,21,34,31,38,41,48,33,47,44,60,57,56,80,87,104,118,124,169,149,166,200,180,185
software engineering,0,0,22,12,0,10,12,9,10,16,13,17,48,47,53,38,48,61,44,40,59,49,57,53,78,65,102,64,88,78,79,101,90,116,106,93,146,134,147
knowledge based systems,0,0,51,10,0,6,9,8,13,9,8,5,20,18,28,20,29,35,24,30,32,31,32,39,50,48,76,64,95,116,98,133,120,133,109,119,160,135,113
sensors,0,0,10,1,0,1,0,3,3,3,5,1,16,7,5,11,10,13,11,26,25,32,33,29,65,69,57,56,66,90,82,105,114,126,159,171,203,185,183
virtual reality,0,0,1,0,0,0,0,3,0,3,3,4,10,22,29,20,23,26,44,40,52,46,43,48,50,57,65,54,64,81,87,111,102,99,115,122,136,163,223
software,0,0,28,12,0,8,12,11,8,14,13,15,58,34,37,27,44,59,34,31,38,45,38,36,65,49,83,63,76,93,86,94,81,94,81,93,134,100,129
database,0,0,30,8,0,6,12,7,11,9,8,12,28,20,31,25,31,46,39,40,41,43,38,43,54,63,66,52,95,92,87,86,100,91,112,107,109,110,104
knowledge management,0,0,16,4,0,4,6,7,9,7,4,5,17,14,24,16,26,31,20,29,30,31,30,39,46,47,75,62,87,109,89,126,114,123,103,112,150,126,108
computer aided design,0,0,6,6,0,3,8,10,2,7,12,11,22,22,33,28,47,42,35,25,29,26,26,31,48,48,58,47,66,101,70,97,98,106,98,93,131,111,113
interaction design,0,0,4,6,0,2,4,4,0,2,5,5,9,14,24,16,37,36,32,30,30,20,27,34,52,49,57,51,87,112,70,112,103,121,115,89,131,110,99
image analysis,0,0,7,3,0,1,1,8,5,3,2,5,14,12,17,20,15,27,25,29,35,38,28,36,35,44,45,40,59,71,76,82,101,139,118,125,148,144,139
visualization,0,0,3,1,0,0,2,7,3,4,7,10,21,26,33,32,29,35,27,39,36,39,38,31,39,52,66,53,58,85,70,87,96,94,109,98,120,98,99
product design,0,0,5,6,0,3,5,6,2,3,8,7,15,17,27,22,44,34,32,22,25,22,20,26,47,47,53,42,64,94,64,89,88,99,83,78,120,90,89
machine learning,0,0,6,7,0,3,7,6,3,11,4,4,15,14,16,12,11,16,14,18,22,34,24,33,34,39,44,38,54,49,63,72,87,113,129,107,116,115,142
software design,0,0,19,9,0,9,9,5,7,14,9,12,30,27,28,22,29,33,30,23,37,20,25,25,44,33,46,43,56,53,50,68,61,87,76,69,109,108,123
interactive computer systems,0,0,4,1,0,1,0,3,4,9,4,10,47,27,31,13,30,25,32,36,44,37,42,30,46,49,58,55,62,66,64,83,69,77,53,67,72,66,70
computer security,0,0,9,0,0,0,1,2,0,1,2,4,5,1,3,4,11,15,13,18,16,22,17,33,39,48,45,47,66,57,79,101,75,86,110,94,129,112,109
information system,0,0,14,3,0,1,7,2,1,2,3,6,17,7,32,31,21,32,27,37,25,31,26,27,33,42,57,52,65,68,70,82,77,70,67,72,93,83,77
image reconstruction,0,0,3,2,0,0,0,5,2,2,1,5,11,8,14,19,10,23,18,22,27,23,21,26,20,36,38,32,43,54,52,69,89,116,93,104,127,120,113
security of data,0,0,9,0,0,0,1,2,0,1,0,4,4,1,3,4,11,14,13,17,15,22,16,31,35,45,42,43,62,54,73,94,69,76,103,88,117,100,95
user experience,0,0,4,5,0,2,4,3,1,2,4,6,8,16,24,14,28,23,23,17,15,16,23,19,38,35,44,37,61,84,57,69,70,86,71,55,93,65,63
communication channels (information theory),0,0,2,0,0,1,0,3,1,0,2,1,8,5,1,3,4,4,5,13,19,17,17,18,20,30,35,35,40,50,44,60,81,87,92,113,118,125,114
three dimensional computer graphics,0,0,2,1,0,0,0,1,1,1,0,5,8,5,13,16,9,18,16,19,23,19,15,22,18,28,30,25,38,44,46,60,75,104,87,90,116,107,101
information retrieval,0,0,25,4,0,2,6,3,4,6,4,4,10,14,13,15,19,21,20,19,29,30,28,30,39,33,41,35,52,66,63,58,68,49,73,59,58,61,62
pattern recognition,0,0,6,6,0,1,5,4,1,4,3,3,11,11,13,5,8,11,10,15,16,29,19,27,26,29,34,31,41,35,53,56,73,87,96,79,90,78,82
software architecture,0,0,10,3,0,7,5,4,3,12,6,8,22,21,22,18,25,26,21,21,30,17,16,19,32,18,37,37,42,42,38,47,35,66,62,50,80,89,100
data mining,0,0,18,5,0,4,5,3,5,5,5,1,9,5,9,3,8,11,8,15,18,15,12,31,36,32,36,27,47,50,60,60,66,57,77,74,85,85,71
experience design,0,0,3,5,0,2,4,3,0,2,4,5,8,13,23,12,28,22,23,15,14,13,16,15,33,28,35,30,49,73,50,63,62,76,59,48,83,58,55
mobile phone,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,2,3,8,13,7,20,22,25,40,41,53,51,52,66,62,82,92,93,98,96,88
interactive computer graphics,0,0,2,0,0,0,0,0,1,0,0,4,7,2,13,15,8,18,15,18,19,15,13,19,18,24,28,22,35,40,42,50,57,88,67,72,94,84,82
ubiquitous computing,0,0,0,2,0,0,0,1,0,2,0,1,1,1,1,5,7,10,10,24,21,21,16,35,46,59,46,39,43,59,36,60,47,46,44,62,68,71,58
robotics,0,0,6,2,0,2,2,3,1,1,3,0,9,5,8,6,6,6,13,11,18,19,15,14,31,25,18,24,31,47,53,60,57,54,73,63,75,80,93
electronic commerce,0,0,9,2,0,3,2,2,2,2,1,2,7,6,10,3,5,12,6,17,24,18,15,11,23,19,28,25,33,51,35,57,50,63,52,74,79,89,73
data privacy,0,0,4,0,0,0,0,0,0,0,0,3,2,1,0,3,3,6,5,11,8,15,12,25,22,34,35,28,48,36,50,66,52,53,72,61,87,72,66
