LEVEL,,,,,,,,,,,,,,TOTAL,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,artificial intelligence,,,,,,,,,,,,,2203,14,15,15,15,16,24,17,27,26,28,31,37,29,33,48,37,51,55,70,60,50,57,62,64,67,62,62,55,46,60,63,59,51,41,53,41,33,54,47,44,47,32,39,39,66,39,63,42,58,59
1,,knowledge based systems [knowledge-based systems],,,,,,,,,,,,1327,6,2,4,2,7,5,3,11,6,13,19,22,10,16,17,15,23,19,53,38,32,36,36,48,37,48,43,43,38,48,47,45,30,27,34,21,27,36,33,31,28,20,23,20,45,21,38,23,34,44
2,,,knowledge management,,,,,,,,,,,1148,6,2,3,2,7,5,3,11,6,11,17,19,10,15,15,10,14,15,40,25,17,22,26,34,25,36,36,34,34,44,44,43,30,24,32,21,26,34,30,28,28,19,23,19,45,21,38,22,34,43
3,,,,knowledge acquisition,,,,,,,,,,165,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,24,15,4,9,3,3,3,6,11,11,4,12,6,7,4,0,1,3,3,5,5,1,0,2,2,1,11,1,0,3,0,0
4,,,,,knowledge engineers,,,,,,,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
4,,,,,share knowledge,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4,,,,,knowledge discovery,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
5,,,,,,knowledge discovery process,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,,,,,knowledge management system [knowledge management systems],,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,,,,knowledge sharing [knowledge-sharing],,,,,,,,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,1,1,1,1,0,0,2,2,0,1,1,0,1,0,0,0,0,0
4,,,,,sharing knowledge,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
4,,,,,share knowledge,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,,,,organizational learning,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,,,,,organizational memory,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,learning organization [learning organizations],,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,,,,knowledge transfer,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,1,0,0,0,1,0,0,0
3,,,,mobile interaction,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,3,0,0,0,0,1,0
3,,,,social software,,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,,,,tacit knowledge,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,,,,,explicit knowledge,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,wiki,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,collaborative writing,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,wikis,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,,,,informal learning,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,knowledge base [knowledge bases],,,,,,,,,,,217,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,3,5,5,27,16,8,15,7,14,11,8,18,20,7,10,8,6,3,1,1,0,4,3,2,2,0,3,0,2,2,1,0,0,0,0
3,,,,knowledge engineers,,,,,,,,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
2,,,knowledge representation,,,,,,,,,,,196,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,5,9,6,20,12,15,12,9,15,10,15,16,16,2,2,5,1,2,1,1,0,4,1,6,2,0,0,0,1,2,1,0,0,0,0
3,,,,formal ontology,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,,,,natural language understanding,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,description logic [description logics],,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
4,,,,,owl [web ontology language],,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
3,,,,ontology language,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
3,,,,background knowledge,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3,,,,nonmonotonic reasoning [non-monotonic reasoning],,,,,,,,,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,default logic [default reasoning],,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,circumscription,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,domain experts [domain knowledge],,,,,,,,,,,115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,11,11,5,4,4,2,4,2,5,7,7,7,8,3,2,4,2,2,2,2,4,1,0,1,0,2,4,0,0,4,0,0
3,,,,knowledge engineers,,,,,,,,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
2,,,knowledge engineering,,,,,,,,,,,108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,7,3,3,2,2,2,3,6,8,9,9,9,2,1,2,2,0,2,3,2,2,0,2,1,1,7,0,1,0,0,0
3,,,,knowledge engineers,,,,,,,,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
3,,,,content management,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,,,,content management system [content management systems],,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,,,"relational database [relational databases, relational database systems]",,,,,,,,,,,30,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,1,2,4,3,0,0,0,3,1,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,"relational data [relational data model, relational data models, relational model]",,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,sql,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,sql query,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,relational algebra,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,temporal database [temporal databases],,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,expert knowledge,,,,,,,,,,,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,9,2,1,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,,,real time systems [real-time systems],,,,,,,,,,,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,1,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1
3,,,,formal specification [formal specifications],,,,,,,,,,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,,,,,z notation,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,,,,safety critical systems [safety-critical systems],,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,,,,"cps [cyber-physical systems (cps), cyber-physical systems, cyber-physical system, cyber physical, cyber physical systems (cpss)]",,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,,,,reactive system [reactive systems],,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,,,"case based reasoning [case-based reasoning (cbr), case-based reasoning, case based reasoning (cbr), case-based reasonings]",,,,,,,,,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,2,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,"case base [case retrieval, case based reasoning systems, case based]",,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,rule based reasoning [rule-based reasoning],,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,cbr,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,evidential reasoning,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,,,rule base,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,"machine learning [machine-learning, machine learning techniques, machine learning methods, machine learning algorithms, machine learnings]",,,,,,,,,,,,547,4,8,4,5,5,3,10,9,9,7,16,12,9,6,16,10,17,17,23,31,15,16,19,21,19,14,13,13,5,13,4,10,6,7,10,7,1,5,8,8,9,7,9,8,16,11,13,7,16,16
2,,,pattern recognition,,,,,,,,,,,226,2,5,2,1,2,1,3,4,3,2,5,1,4,3,7,6,8,6,3,6,2,7,7,4,3,3,2,3,2,2,2,6,3,5,7,5,1,4,6,2,5,7,7,6,10,9,9,6,8,9
3,,,,gesture recognition,,,,,,,,,,115,0,1,0,0,0,0,0,0,0,1,3,0,2,2,3,3,5,3,1,2,2,3,4,0,3,1,1,2,0,0,2,1,2,1,5,4,1,2,2,2,4,4,5,3,8,4,7,2,7,7
4,,,,,facial expression [facial expressions],,,,,,,,,90,0,1,0,0,0,0,0,0,0,1,3,0,2,2,3,3,5,2,1,1,2,2,3,0,1,1,1,1,0,0,1,1,2,1,5,4,1,2,2,2,3,4,3,2,4,2,7,1,3,5
5,,,,,,computer keyboards,,,,,,,,63,0,1,0,0,0,0,0,0,0,1,3,0,2,2,3,3,5,2,1,1,2,2,3,0,1,1,1,1,0,0,1,1,2,0,1,4,0,1,1,0,2,0,2,2,2,2,2,1,3,1
6,,,,,,,keyboard,,,,,,,59,0,1,0,0,0,0,0,0,0,1,3,0,2,2,3,3,5,2,1,1,2,2,3,0,1,1,1,1,0,0,1,1,2,0,1,3,0,0,1,0,1,0,2,2,2,2,2,1,3,0
6,,,,,,,text entry,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,2,1
7,,,,,,,,text input,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,,,,,,,virtual keyboard [virtual keyboards],,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,,,,,,emotional expression [emotional expressions],,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0
6,,,,,,,emotion expression,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
