TOPIC,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
computer science,26,27,29,39,32,44,34,51,37,47,40,51,54,64,65,67,76,76,80,72,67,77,89,87,91,76,74,68,68,74,76,90,75,51,77,72,57,83,70,67,76,61,63,62,95,69,89,69,97,94
artificial intelligence,14,15,15,15,16,24,17,27,26,28,31,37,29,33,48,37,51,55,70,60,50,57,62,64,67,62,62,55,46,60,63,59,51,41,53,41,33,54,47,44,47,32,39,39,66,39,63,42,58,59
human computer interaction,17,14,23,25,21,32,17,31,14,24,18,26,29,42,31,33,39,48,23,35,33,42,66,51,62,47,32,38,46,35,40,63,58,39,60,62,52,79,53,61,68,50,53,48,56,59,61,61,80,78
computer system,8,4,6,4,11,11,12,10,11,10,10,14,20,22,21,23,33,28,19,26,29,30,32,37,40,38,33,37,33,28,37,39,32,24,40,44,28,49,41,40,35,24,37,34,44,29,41,33,46,42
knowledge based systems,6,2,4,2,7,5,3,11,6,13,19,22,10,16,17,15,23,19,53,38,32,36,36,48,37,48,43,43,38,48,47,45,30,27,34,21,27,36,33,31,28,20,23,20,45,21,38,23,34,44
user interface,1,3,2,2,3,2,0,2,2,5,5,3,4,10,9,18,15,25,8,13,15,20,38,35,39,22,19,23,28,13,22,35,35,20,32,33,39,69,42,53,56,38,44,29,38,31,34,39,52,53
knowledge management,6,2,3,2,7,5,3,11,6,11,17,19,10,15,15,10,14,15,40,25,17,22,26,34,25,36,36,34,34,44,44,43,30,24,32,21,26,34,30,28,28,19,23,19,45,21,38,22,34,43
internet,3,1,5,0,2,1,1,4,6,7,4,12,4,13,6,7,11,8,8,8,9,12,21,24,21,23,22,20,37,30,22,35,30,24,37,41,23,42,35,38,34,34,36,27,40,24,36,35,48,42
software engineering,0,0,2,2,2,1,4,1,3,5,3,4,6,8,5,7,10,15,25,19,21,20,15,29,23,27,18,28,23,28,28,17,22,11,17,16,15,27,12,21,13,17,7,12,25,13,16,12,12,11
machine learning,4,8,4,5,5,3,10,9,9,7,16,12,9,6,16,10,17,17,23,31,15,16,19,21,19,14,13,13,5,13,4,10,6,7,10,7,1,5,8,8,9,7,9,8,16,11,13,7,16,16
software,1,1,1,0,5,2,3,1,5,2,3,6,15,12,4,10,12,17,8,7,17,14,17,24,14,20,14,14,16,13,14,14,11,7,11,13,11,22,12,14,14,8,7,10,13,10,11,8,14,12
database,5,1,3,3,4,3,5,4,9,4,3,5,5,6,10,11,16,11,6,11,16,18,16,15,18,17,17,14,18,5,11,19,6,13,18,13,7,8,15,9,9,6,10,8,13,8,12,7,9,6
computer network,4,2,2,0,1,3,0,1,3,0,2,2,0,5,3,3,7,3,2,6,2,4,9,7,11,7,6,8,8,14,6,9,13,10,15,23,13,22,21,25,20,11,23,20,16,12,14,20,29,29
hardware,3,3,0,1,8,2,3,5,3,2,9,4,7,12,4,2,6,7,12,10,7,14,12,6,12,11,6,15,7,10,7,10,11,6,13,15,5,13,13,13,10,7,19,11,17,13,17,14,25,23
computer vision,1,6,1,4,4,2,6,3,3,4,4,1,8,5,5,6,13,10,2,6,3,7,12,6,6,4,6,7,5,5,3,16,9,6,16,15,7,12,14,14,17,15,16,17,24,13,21,20,20,31
software design,0,0,2,2,0,1,3,1,3,5,3,3,4,6,5,5,5,10,14,12,17,17,10,22,18,19,13,20,15,18,17,6,10,8,9,11,8,16,9,15,8,8,4,6,14,10,11,8,8,7
human engineering,0,2,2,1,2,3,0,3,1,2,1,3,1,3,6,7,5,4,0,4,2,6,15,7,14,8,3,8,11,2,9,15,22,10,13,12,12,22,10,9,18,13,14,19,17,17,18,20,30,19
computer programming,2,2,2,1,6,11,3,7,7,7,5,6,7,10,15,14,12,15,14,18,15,11,14,13,20,23,9,11,8,13,15,17,12,6,5,9,4,8,6,6,4,4,3,4,5,5,6,5,4,5
network protocols,2,0,2,0,1,0,0,1,3,0,1,2,0,4,1,3,5,2,2,3,1,4,9,6,8,6,6,8,8,12,4,9,12,7,14,23,12,22,19,21,19,11,22,17,13,11,13,18,29,26
telecommunication systems,4,2,1,0,1,0,0,1,2,0,1,2,0,5,1,2,5,1,1,4,0,4,6,6,5,5,6,5,8,11,3,7,10,6,14,22,8,20,14,22,17,9,22,16,17,12,14,17,29,24
